iter	RMSE
0	5338.885675
1	5219.325678
2	5106.924664
3	5006.850467
4	4922.399867
5	4838.211718
6	4762.293293
7	4696.336135
8	4631.907013
9	4586.764396
10	4535.796653
11	4488.249158
12	4449.978477
13	4413.071474
14	4380.139829
15	4348.852219
16	4320.884188
17	4298.332146
18	4277.136427
19	4252.610774
20	4227.576743
21	4202.248429
22	4183.010411
23	4166.441223
24	4150.86677
25	4134.034013
26	4120.077664
27	4105.866014
28	4092.07329
29	4079.568057
30	4066.777284
31	4056.215626
32	4044.300459
33	4034.026724
34	4022.156931
35	4011.787573
36	4003.466678
37	3995.675594
38	3986.292582
39	3977.896237
40	3970.083206
41	3961.136771
42	3955.013666
43	3945.198024
44	3938.276589
45	3931.980061
46	3925.251407
47	3919.512717
48	3913.838728
49	3906.892067
50	3901.494964
51	3895.786094
52	3890.024601
53	3884.610747
54	3879.545332
55	3873.53059
56	3869.384975
57	3864.486717
58	3860.584996
59	3856.255889
60	3851.431405
61	3846.407957
62	3841.267232
63	3836.802285
64	3832.931077
65	3828.075072
66	3823.158658
67	3819.708537
68	3814.140912
69	3809.933474
70	3806.298792
71	3802.233538
72	3797.83814
73	3794.20277
74	3791.358408
75	3788.033512
76	3784.394629
77	3781.483196
78	3778.239555
79	3775.703629
80	3770.816779
81	3767.772709
82	3763.998283
83	3760.812554
84	3759.061464
85	3755.77768
86	3753.438148
87	3749.159254
88	3746.674782
89	3744.485325
90	3742.261515
91	3739.386958
92	3736.966674
93	3734.274248
94	3732.548727
95	3730.461271
96	3725.963643
97	3724.401812
98	3722.231826
99	3720.316664
100	3716.78299
101	3715.181108
102	3711.635484
103	3709.428342
104	3707.685474
105	3705.152537
106	3703.680372
107	3700.862223
108	3698.713802
109	3695.244611
110	3693.811151
111	3692.538634
112	3690.070839
113	3688.237661
114	3686.604908
115	3685.197251
116	3683.860681
117	3681.342651
118	3679.43587
119	3678.268604
120	3676.582018
121	3674.82125
122	3672.681113
123	3669.6411
124	3667.812868
125	3666.744608
126	3665.127759
127	3663.941671
128	3662.400885
129	3661.250569
130	3660.243713
131	3658.283356
132	3657.290036
133	3656.359407
134	3655.186543
135	3654.092792
136	3653.077627
137	3651.187946
138	3649.62375
139	3647.711276
140	3646.356768
141	3644.150281
142	3642.927942
143	3641.169867
144	3640.081058
145	3638.930015
146	3637.711029
147	3635.149347
148	3633.492045
149	3631.298961
150	3630.041471
151	3629.126293
152	3628.109112
153	3626.62987
154	3625.133641
155	3622.479067
156	3621.433442
157	3620.013046
158	3618.912505
159	3617.951837
160	3616.790287
161	3615.686128
162	3614.537024
163	3613.316379
164	3612.658771
165	3611.72619
166	3610.975779
167	3609.443211
168	3608.167079
169	3605.973458
170	3605.049063
171	3603.303366
172	3602.306791
173	3601.448198
174	3600.673916
175	3598.782538
176	3597.738008
177	3596.87146
178	3595.95175
179	3595.068301
180	3593.245092
181	3591.903206
182	3591.029618
183	3589.722491
184	3589.001115
185	3587.469198
186	3586.061586
187	3585.309066
188	3584.161785
189	3583.407121
190	3582.812909
191	3581.839281
192	3581.144984
193	3579.416093
194	3577.399006
195	3575.865338
196	3575.345278
197	3574.557638
198	3574.038192
199	3572.440798
200	3570.77872
201	3569.16831
202	3568.342432
203	3567.895596
204	3567.045252
205	3566.25287
206	3564.564997
207	3563.232968
208	3561.537769
209	3560.06389
210	3559.361498
211	3558.468809
212	3557.208768
213	3555.806386
214	3554.35079
215	3553.573035
216	3552.856638
217	3552.304464
218	3551.805809
219	3550.733159
220	3549.683224
221	3548.283915
222	3547.338605
223	3546.753468
224	3546.250157
225	3545.50318
226	3543.800255
227	3541.984408
228	3540.328148
229	3539.763528
230	3538.750233
231	3537.307009
232	3536.110935
233	3535.488638
234	3534.675703
235	3533.600779
236	3532.955221
237	3532.222758
238	3530.935354
239	3530.376578
240	3528.935793
241	3527.937645
242	3525.929767
243	3525.087117
244	3523.931759
245	3522.256013
246	3521.105891
247	3520.5869
248	3519.294836
249	3517.595735
250	3516.90828
251	3515.914408
252	3513.979624
253	3512.563709
254	3511.545768
255	3510.655931
256	3510.025573
257	3508.315755
258	3507.319892
259	3506.665282
260	3505.319612
261	3504.732016
262	3504.039888
263	3502.072208
264	3500.541627
265	3499.833633
266	3499.074736
267	3497.968353
268	3496.199501
269	3495.453609
270	3494.552045
271	3493.760028
272	3492.516558
273	3490.579334
274	3488.948416
275	3487.680443
276	3486.920037
277	3486.185566
278	3485.711151
279	3485.055163
280	3484.427495
281	3483.230214
282	3482.194433
283	3481.529017
284	3480.658688
285	3479.806837
286	3478.796073
287	3478.195888
288	3477.585356
289	3476.951441
290	3475.608018
291	3475.192237
292	3474.640018
293	3474.094731
294	3473.483131
295	3473.005223
296	3471.762454
297	3471.088336
298	3470.398989
299	3469.816665
300	3468.488904
301	3468.023974
302	3466.820723
303	3465.908242
304	3465.147935
305	3463.804769
306	3462.66876
307	3462.196657
308	3461.339454
309	3460.732968
310	3460.103122
311	3459.542786
312	3458.627688
313	3458.030422
314	3457.499895
315	3457.187882
316	3456.406554
317	3455.13967
318	3454.653532
319	3454.179949
320	3453.111426
321	3452.662338
322	3452.225079
323	3450.71796
324	3450.201978
325	3449.298892
326	3448.350665
327	3447.08377
328	3446.515957
329	3445.799846
330	3444.669222
331	3444.092811
332	3443.394414
333	3442.549944
334	3441.366321
335	3440.622363
336	3439.786613
337	3439.522078
338	3438.560342
339	3438.020791
340	3437.408022
341	3437.107708
342	3435.412073
343	3434.724769
344	3433.783317
345	3432.955561
346	3431.991622
347	3431.289619
348	3430.508449
349	3429.902624
350	3428.846446
351	3427.491294
352	3426.827511
353	3425.811194
354	3425.367486
355	3424.806507
356	3423.736241
357	3423.366326
358	3422.995535
359	3422.596304
360	3422.217568
361	3421.674008
362	3421.097912
363	3420.514134
364	3420.160732
365	3419.079469
366	3418.659715
367	3418.245044
368	3417.391671
369	3416.817685
370	3415.571178
371	3414.709562
372	3414.173822
373	3413.46966
374	3413.20133
375	3412.213245
376	3411.273535
377	3410.795722
378	3410.56909
379	3410.110862
380	3409.852251
381	3409.272852
382	3408.906554
383	3408.389493
384	3407.202416
385	3406.781262
386	3406.466825
387	3405.659717
388	3405.201299
389	3404.441258
390	3403.696157
391	3403.243387
392	3402.487764
393	3402.007798
394	3401.297383
395	3400.691934
396	3400.183524
397	3399.756762
398	3398.857668
399	3398.43942
400	3398.022702
401	3397.383426
402	3397.056986
403	3396.761815
404	3396.248955
405	3395.978741
406	3395.419009
407	3394.683581
408	3394.067964
409	3393.549444
410	3392.881792
411	3392.445963
412	3391.544415
413	3391.07772
414	3390.694136
415	3390.200478
416	3389.585807
417	3389.014416
418	3388.615163
419	3388.160798
420	3387.736145
421	3386.98946
422	3386.70009
423	3386.064292
424	3385.68098
425	3385.123778
426	3384.29845
427	3383.949711
428	3383.568832
429	3382.634409
430	3381.768584
431	3381.026727
432	3380.337775
433	3380.03007
434	3378.97353
435	3378.609725
436	3378.22209
437	3377.490265
438	3376.826389
439	3376.100447
440	3375.836806
441	3375.496355
442	3375.172668
443	3374.815846
444	3374.149513
445	3373.494765
446	3373.154587
447	3372.899523
448	3372.329337
449	3371.721469
450	3371.156906
451	3370.713079
452	3370.055051
453	3369.133859
454	3368.575142
455	3367.635957
456	3367.263307
457	3366.443489
458	3366.036753
459	3365.695413
460	3365.042018
461	3364.566781
462	3363.94095
463	3363.540812
464	3362.92498
465	3362.475739
466	3362.056263
467	3361.623597
468	3361.079589
469	3360.547286
470	3360.077031
471	3359.595972
472	3359.282644
473	3358.890037
474	3358.286766
475	3358.132317
476	3357.809948
477	3357.376562
478	3357.006865
479	3356.582597
480	3356.421514
481	3356.110562
482	3355.346958
483	3354.885733
484	3354.355479
485	3353.32544
486	3352.875785
487	3352.121419
488	3351.827367
489	3351.17199
490	3350.837146
491	3350.469342
492	3349.875259
493	3349.438376
494	3349.109106
495	3348.958834
496	3348.671384
497	3347.945442
498	3347.363402
499	3347.213847
500	3347.073305
501	3346.287268
502	3345.967039
503	3345.529446
504	3345.255689
505	3344.948384
506	3344.254953
507	3343.328095
508	3342.797625
509	3342.249617
510	3341.741052
511	3340.915376
512	3340.643852
513	3340.353502
514	3339.693583
515	3339.506266
516	3339.265241
517	3338.935277
518	3338.565551
519	3338.314595
520	3337.506974
521	3337.072031
522	3336.33962
523	3335.912784
524	3335.44222
525	3334.840377
526	3334.453447
527	3334.147426
528	3333.598712
529	3333.323878
530	3332.897162
531	3332.256744
532	3332.099045
533	3331.601764
534	3331.141162
535	3330.896843
536	3330.516022
537	3330.234713
538	3329.773458
539	3328.537829
540	3328.294971
541	3327.881934
542	3327.573076
543	3327.178326
544	3326.699331
545	3326.26316
546	3326.052738
547	3325.627383
548	3325.40816
549	3325.246346
550	3324.902449
551	3324.616258
552	3324.201586
553	3323.750208
554	3322.936281
555	3322.31186
556	3322.129547
557	3321.715493
558	3321.309123
559	3320.930529
560	3320.103968
561	3319.533239
562	3319.119123
563	3318.534407
564	3318.257242
565	3317.717876
566	3317.392553
567	3316.950099
568	3316.787896
569	3316.426366
570	3316.033255
571	3315.491334
572	3315.247206
573	3315.046988
574	3314.731125
575	3313.968145
576	3313.63523
577	3313.415823
578	3312.84689
579	3312.189193
580	3311.595301
581	3311.344363
582	3310.700645
583	3310.34047
584	3309.795218
585	3309.272591
586	3308.466827
587	3308.024085
588	3307.560799
589	3307.318096
590	3306.612533
591	3306.180536
592	3305.805866
593	3305.166442
594	3304.889916
595	3304.612903
596	3304.254657
597	3304.047402
598	3303.368905
599	3303.169475
600	3302.920126
601	3302.728982
602	3302.240289
603	3301.965916
604	3301.631856
605	3301.393622
606	3300.921369
607	3300.456533
608	3300.264362
609	3299.836284
610	3299.342296
611	3299.138931
612	3298.868376
613	3298.433938
614	3297.992365
615	3297.578403
616	3297.151246
617	3296.87304
618	3296.535545
619	3296.201231
620	3295.497347
621	3294.950927
622	3294.769031
623	3294.593894
624	3294.388733
625	3294.201953
626	3293.974653
627	3293.096239
628	3292.53561
629	3292.287895
630	3291.941807
631	3291.454338
632	3291.268372
633	3291.099246
634	3290.908885
635	3290.580322
636	3290.145776
637	3289.687851
638	3289.434187
639	3289.148604
640	3288.74257
641	3288.152664
642	3287.837499
643	3287.561379
644	3287.311738
645	3286.804037
646	3286.388141
647	3286.109553
648	3285.803775
649	3285.646916
650	3285.371855
651	3284.33371
652	3283.809962
653	3283.605158
654	3283.246952
655	3282.403239
656	3282.237645
657	3282.020377
658	3281.436362
659	3280.982588
660	3280.876054
661	3280.368598
662	3280.218992
663	3279.838221
664	3279.694113
665	3279.555257
666	3278.957978
667	3278.431675
668	3278.297783
669	3277.867289
670	3277.738091
671	3277.465782
672	3277.350961
673	3277.276399
674	3276.678873
675	3275.887517
676	3275.338958
677	3274.627672
678	3274.492059
679	3273.370655
680	3273.07921
681	3272.432116
682	3271.773063
683	3271.329483
684	3271.198735
685	3270.584598
686	3270.117146
687	3269.492067
688	3269.374874
689	3269.027826
690	3268.905909
691	3268.397776
692	3268.201194
693	3267.566568
694	3267.456993
695	3267.160427
696	3267.058676
697	3266.748472
698	3266.409947
699	3265.69433
700	3265.417966
701	3264.997031
702	3264.886408
703	3264.620162
704	3263.752848
705	3263.484381
706	3263.313326
707	3262.832604
708	3262.361945
709	3262.262931
710	3262.089377
711	3261.997227
712	3261.750568
713	3261.65042
714	3261.235212
