iter	Passed	Remaining
0	2	2995
1	5	2896
2	8	2897
3	11	2854
4	14	2852
5	17	2876
6	20	2923
7	23	2905
8	26	2895
9	29	2880
10	31	2871
11	34	2876
12	37	2879
13	40	2866
14	43	2884
15	47	2892
16	49	2879
17	52	2875
18	55	2871
19	58	2860
20	61	2850
21	63	2838
22	67	2847
23	70	2854
24	72	2845
25	75	2840
26	78	2835
27	81	2827
28	84	2828
29	87	2822
30	90	2816
31	92	2811
32	96	2814
33	98	2811
34	101	2807
35	104	2804
36	107	2799
37	110	2792
38	113	2784
39	116	2786
40	119	2786
41	121	2779
42	124	2780
43	127	2776
44	130	2771
45	133	2770
46	136	2765
47	139	2761
48	142	2756
49	144	2753
50	147	2753
51	151	2754
52	154	2752
53	156	2750
54	159	2743
55	162	2737
56	165	2737
57	168	2734
58	171	2729
59	173	2724
60	176	2719
61	179	2716
62	182	2716
63	185	2713
64	188	2707
65	190	2702
66	193	2699
67	196	2697
68	199	2694
69	202	2693
70	205	2690
71	208	2687
72	211	2683
73	214	2683
74	217	2681
75	220	2676
76	223	2675
77	225	2671
78	228	2664
79	231	2663
80	234	2659
81	237	2654
82	239	2650
83	242	2648
84	245	2646
85	248	2643
86	251	2640
87	254	2636
88	257	2634
89	260	2632
90	263	2632
91	266	2628
92	269	2624
93	272	2623
94	274	2619
95	277	2616
96	281	2616
97	283	2612
98	286	2608
99	289	2605
100	292	2602
101	295	2599
102	298	2595
103	301	2593
104	303	2589
105	306	2586
106	309	2584
107	313	2585
108	315	2581
109	318	2578
110	321	2574
111	324	2570
112	327	2568
113	330	2567
114	333	2562
115	335	2557
116	338	2555
117	341	2552
118	344	2549
119	347	2546
120	350	2542
121	352	2538
122	355	2534
123	358	2533
124	361	2533
125	364	2531
126	367	2528
127	370	2524
128	373	2521
129	376	2519
130	379	2516
131	382	2513
132	384	2509
133	387	2507
134	390	2503
135	393	2501
136	396	2497
137	399	2494
138	402	2490
139	405	2488
140	408	2487
141	411	2487
142	414	2485
143	418	2485
144	421	2482
145	423	2478
146	426	2477
147	429	2473
148	432	2470
149	435	2467
150	438	2464
151	441	2460
152	443	2457
153	446	2454
154	449	2451
155	452	2449
156	455	2446
157	459	2447
158	462	2445
159	465	2443
160	468	2440
161	471	2437
162	474	2435
163	477	2433
164	480	2430
165	483	2427
166	486	2424
167	489	2421
168	491	2418
169	494	2415
170	497	2412
171	500	2408
172	503	2404
173	506	2402
174	509	2399
175	511	2396
176	514	2393
177	517	2390
178	520	2386
179	523	2384
180	526	2380
181	528	2377
182	531	2373
183	534	2371
184	537	2367
185	540	2366
186	543	2363
187	546	2360
188	549	2358
189	552	2354
190	555	2352
191	558	2350
192	561	2347
193	564	2345
194	567	2342
195	570	2338
196	573	2337
197	576	2334
198	578	2330
199	581	2326
200	584	2323
201	587	2320
202	590	2317
203	593	2315
204	596	2313
205	599	2310
206	602	2307
207	605	2306
208	608	2302
209	611	2299
210	614	2297
211	617	2294
212	620	2291
213	623	2289
214	626	2286
215	628	2282
216	631	2279
217	634	2276
218	637	2274
219	640	2272
220	643	2270
221	647	2268
222	650	2267
223	654	2267
224	657	2263
225	660	2261
226	663	2258
227	666	2255
228	669	2253
229	672	2251
230	675	2248
231	678	2245
232	681	2243
233	684	2240
234	687	2237
235	690	2234
236	692	2230
237	695	2226
238	698	2224
239	701	2222
240	704	2219
241	707	2216
242	710	2214
243	713	2211
244	716	2208
245	719	2206
246	722	2203
247	725	2199
248	728	2196
249	731	2193
250	734	2190
251	736	2186
252	739	2184
253	742	2180
254	745	2177
255	748	2174
256	751	2172
257	754	2169
258	757	2166
259	760	2163
260	763	2160
261	765	2157
262	769	2155
263	771	2151
264	774	2148
265	777	2145
266	780	2142
267	783	2139
268	786	2136
269	789	2133
270	791	2130
271	794	2126
272	797	2123
273	800	2121
274	803	2118
275	806	2115
276	809	2112
277	812	2108
278	815	2106
279	817	2103
280	820	2100
281	823	2097
282	826	2094
283	829	2090
284	832	2088
285	835	2085
286	838	2082
287	840	2079
288	843	2075
289	846	2072
290	849	2070
291	852	2066
292	855	2063
293	858	2060
294	860	2057
295	863	2054
296	866	2052
297	869	2048
298	872	2045
299	875	2042
300	878	2040
301	881	2037
302	884	2035
303	887	2031
304	890	2028
305	893	2025
306	896	2022
307	899	2020
308	901	2016
309	904	2014
310	907	2010
311	910	2007
312	913	2005
313	916	2002
314	919	1999
315	922	1995
316	925	1992
317	927	1990
318	930	1986
319	933	1983
320	936	1980
321	939	1977
322	941	1974
323	945	1972
324	948	1969
325	951	1966
326	954	1964
327	957	1961
328	960	1958
329	963	1955
330	966	1952
331	968	1949
332	971	1946
333	974	1943
334	977	1940
335	980	1937
336	983	1934
337	986	1931
338	988	1928
339	992	1925
340	995	1923
341	997	1920
342	1000	1917
343	1003	1914
344	1006	1911
345	1009	1908
346	1012	1905
347	1015	1902
348	1017	1898
349	1020	1895
350	1023	1892
351	1026	1889
352	1029	1886
353	1032	1884
354	1035	1880
355	1037	1877
356	1040	1874
357	1044	1872
358	1046	1869
359	1049	1866
360	1052	1863
361	1055	1860
362	1058	1857
363	1061	1854
364	1064	1851
365	1067	1848
366	1070	1845
367	1072	1842
368	1075	1839
369	1078	1836
370	1081	1833
371	1084	1830
372	1087	1827
373	1090	1824
374	1093	1821
375	1095	1818
376	1099	1816
377	1101	1813
378	1104	1809
379	1108	1807
380	1110	1804
381	1113	1802
382	1116	1799
383	1120	1796
384	1123	1794
385	1126	1791
386	1129	1788
387	1132	1786
388	1135	1783
389	1138	1780
390	1141	1778
391	1144	1775
392	1148	1773
393	1151	1770
394	1154	1767
395	1157	1765
396	1160	1762
397	1163	1759
398	1166	1757
399	1169	1754
400	1172	1751
401	1175	1748
402	1178	1746
403	1181	1743
404	1184	1739
405	1187	1737
406	1190	1734
407	1193	1731
408	1196	1728
409	1198	1725
410	1201	1722
411	1204	1719
412	1207	1716
413	1210	1713
414	1213	1710
415	1216	1707
416	1219	1704
417	1221	1701
418	1224	1698
419	1227	1695
