name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Moscow,2022-05-28T00:00:00,8,6.1,6.3,89.2,0,0,,0,0,32.8,11,220,1000,0,10,0,,0,10,Clear,clear-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T01:00:00,7,5.5,5.3,89.18,0,0,,0,0,32.8,8.1,215,1000,0,10,0,,0,10,Clear,clear-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T02:00:00,6.4,5.2,5.1,91.71,0,0,,0,0,30.2,6.6,230,999.7,0,10,0,,0,10,Clear,clear-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T03:00:00,5.8,4.3,5,94.33,0,0,,0,0,27.7,7.2,171,999,0,9.8,0,,0,10,Clear,clear-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T04:00:00,6,4.5,4.5,90.06,0,0,,0,0,24.5,7.2,175,998,0,10,0,,0,10,Clear,clear-day,"UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T05:00:00,7,7,5.3,89.18,0,0,,0,0,21.2,4.2,106,998,0,10,20,0.1,0,10,Clear,clear-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T06:00:00,7.6,7.6,5.9,89.23,0,0,,0,0,18,1.7,228,997.7,0,10,113,0.4,1,10,Clear,clear-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T07:00:00,8.6,7.5,6.5,86.83,0,0,,0,0,20.8,7.2,192,997.3,60,10,210,0.8,2,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T08:00:00,9.4,8.4,7.7,89.37,0,0,rain,0,0,23.5,7.8,202,997,66,10,352,1.3,4,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T09:00:00,10.4,10.4,7.5,82.28,0,0,,0,0,26.3,7.2,215,997,63.5,10,491,1.8,5,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T10:00:00,10.8,10.8,6.9,76.8,0,0,rain,0,0,29.9,11,220,997.3,72.8,10,311,1.1,3,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T11:00:00,11.2,11.2,6.9,74.74,0,0,rain,0,0,33.5,14.6,215,997.7,72.8,10,311,1.1,3,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T12:00:00,11.4,11.4,7.3,76.06,0.6,100,rain,0,0,37.1,21.2,235,998.7,72.8,10,470,1.7,5,10,"Rain, Partially cloudy",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T13:00:00,12.6,12.6,6.7,66.95,0,0,rain,0,0,35.3,22.5,223,998.9,72.8,10,470,1.7,5,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T14:00:00,14,14,6.9,62.37,0,0,rain,0,0,50.4,26.1,250,999.7,72.8,10,213,0.8,2,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T15:00:00,12.8,12.8,6.3,64.89,2.8,100,rain,0,0,31.7,23.3,267,1000.3,72.8,10,127,0.5,1,10,"Rain, Partially cloudy",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T16:00:00,13.6,13.6,5.7,59.13,0,0,,0,0,31.9,24.6,266,1000.7,72.8,10,195,0.7,2,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T17:00:00,11.8,11.8,6.6,70.27,0,0,rain,0,0,43.2,27.6,261,1001.7,72.8,10,192,0.7,2,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T18:00:00,12,12,6.1,67.08,2.1,100,rain,0,0,32.4,17.5,281,1002.7,66.3,9.8,138,0.5,1,10,"Rain, Partially cloudy",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T19:00:00,11.6,11.6,6,68.45,0,0,,0,0,29.4,25.5,243,1002.9,58.5,10,186,0.7,2,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T20:00:00,11,11,5.6,69.24,0,0,,0,0,26.4,15.9,246,1003.7,38.4,10,89,0.3,1,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T21:00:00,9.6,7.3,5.4,74.77,0.2,100,rain,0,0,23.4,16.3,256,1003.7,27.3,10,16,0.1,0,10,"Rain, Partially cloudy",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T22:00:00,7.8,5.4,4.7,80.87,0,0,,0,0,22.4,13.8,225,1004.7,0,10,0,,0,10,Clear,clear-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-28T23:00:00,7.4,5.2,5.1,85.63,0,0,,0,0,21.5,11.7,222,1004.7,0,10,0,,0,10,Clear,clear-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
