name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Moscow,2022-05-01T00:00:00,1.8,1.8,-4.4,63.24,0,0,,0,0,4.7,3.6,273,1023.7,0,10,0,,0,10,Clear,clear-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T01:00:00,0.2,-1.3,-4.3,71.76,0,0,,0,0,4.3,5.1,227,1023.7,0,10,0,,0,10,Clear,clear-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T02:00:00,-0.4,-2,-4.4,73.95,0,0,,0,0,6.1,5.1,227,1023.7,0,10,0,,0,10,Clear,clear-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T03:00:00,-0.4,-2.9,-4.3,74.9,0,0,,0,0,6.8,7.2,237,1023.7,0,10,0,,0,10,Clear,clear-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T04:00:00,-0.4,-0.4,-4.3,74.9,0,0,,0,0,7.6,4.5,256,1024,0,10,0,,0,10,Clear,clear-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T05:00:00,-0.9,-0.9,-4.7,75.7,0,0,,0,0,7.6,3.6,251,1023.7,0,10,0,,0,10,Clear,clear-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T06:00:00,-0.3,-0.3,-3.9,76.54,0,0,,0,0,7.6,1.7,215,1025.2,0,16.7,43,0.2,0,10,Clear,clear-day,"27612099999,UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T07:00:00,2.4,0.6,-3.8,63.38,0,0,,0,0,7.6,6.6,220,1024,0,10,169,0.6,2,10,Clear,clear-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T08:00:00,6,3.5,-4.3,47.79,0,0,,0,0,10.4,11.7,216,1024,0,10,319,1.1,3,10,Clear,clear-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T09:00:00,8.2,6,-4.9,39.4,0,0,,0,0,16.9,12.7,230,1023.7,0,10,466,1.7,5,10,Clear,clear-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T10:00:00,9.2,6.6,-5.3,35.7,0,0,,0,0,21.6,17.4,247,1023.3,0,10,597,2.1,6,10,Clear,clear-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T11:00:00,10,7.7,-5.3,33.76,0,0,,0,0,23.8,17.1,255,1023,0,10,693,2.5,7,10,Clear,clear-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T12:00:00,10.6,10.6,-5.7,31.47,0,0,,0,0,28.1,21.2,240,1022.3,0,10,759,2.7,8,10,Clear,clear-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T13:00:00,11,11,-5.4,31.18,0,0,,0,0,29.5,17.4,265,1021.7,0,10,728,2.6,7,10,Clear,clear-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T14:00:00,11.3,11.3,-5.9,29.53,0,0,,0,0,30.6,21,254,1021,0,10,576,2.1,6,10,Clear,clear-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T15:00:00,11.6,11.6,-6.4,27.79,0,0,,0,0,30.6,23.7,282,1020.7,0,10,606,2.2,6,10,Clear,clear-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T16:00:00,12,12,-6.6,26.7,0,0,,0,0,36,16.5,240,1020,0,10,420,1.5,4,10,Clear,clear-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T17:00:00,12,12,-6,27.91,0,0,,0,0,29.9,20.4,250,1019.7,0,10,361,1.3,4,10,Clear,clear-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T18:00:00,11.2,11.2,-5.8,29.89,0,0,,0,0,28.8,19.9,255,1019.3,0,10,206,0.7,2,10,Clear,clear-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T19:00:00,11,11,-4.4,33.63,0,0,rain,0,0,26.3,14.4,256,1019,0,10,114,0.4,1,10,Clear,clear-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Moscow,2022-05-01T20:00:00,10,7.7,-3.9,37.55,0,0,,0,0,22.3,16.8,261,1019,0,10,20,0.1,0,10,Clear,clear-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
